# AUTHOR: C. Espinosa
# SOURCE: QCVC
# DATE: 2021-10-29
# VERSION: 1.0
# COLAPRV: S.F.Sanchez
# PUBAPRV: None
#  COLUMN1:  HIIREGID           , string,  ,  HII region ID
#  COLUMN2: f_y      ,float,     ,fraction of light in the V band of stars
#  COLUMN3: dist      ,float,    ,galactocentric distance normilized by R_e
#  COLUMN4: Av      ,float,  mag  ,dust attenuation
#  COLUMN5: OH_M13_N2      ,float,  12+log(O/H)  ,oxygen abundance for M13_N2
#  COLUMN6: OH_M13_O3N2      ,float,  12+log(O/H)  ,oxygen abundance for M13_O3N2
#  COLUMN7: OH_T04      ,float,  12+log(O/H)  ,oxygen abundance for T04
#  COLUMN8: OH_Pet04_N2_lin      ,float,  12+log(O/H)  ,oxygen abundance for Pet04_N2_lin
#  COLUMN9: OH_Pet04_N2_poly      ,float,  12+log(O/H)  ,oxygen abundance for Pet04_N2_poly
#  COLUMN10: OH_Pet04_O3N2      ,float,  12+log(O/H)  ,oxygen abundance for Pet04_O3N2
#  COLUMN11: OH_Kew02_N2O2      ,float,  12+log(O/H)  ,oxygen abundance for Kew02_N2O2
#  COLUMN12: OH_Pil10_ONS      ,float,  12+log(O/H)  ,oxygen abundance for Pil10_ONS
#  COLUMN13: OH_Pil10_ON      ,float,  12+log(O/H)  ,oxygen abundance for Pil10_ON
#  COLUMN14: OH_Pil11_NS      ,float,  12+log(O/H)  ,oxygen abundance for Pil11_NS
#  COLUMN15: OH_Pil16_R      ,float,  12+log(O/H)  ,oxygen abundance for Pil16_R
#  COLUMN16: OH_Pil16_S      ,float,  12+log(O/H)  ,oxygen abundance for Pil16_S
#  COLUMN17: OH_Cur20_RS32      ,float,  12+log(O/H)  ,oxygen abundance for Cur20_RS32
#  COLUMN18: OH_Cur20_R3      ,float,  12+log(O/H)  ,oxygen abundance for Cur20_R3
#  COLUMN19: OH_Cur20_O3O2      ,float,  12+log(O/H)  ,oxygen abundance for Cur20_O3O2
#  COLUMN20: OH_Cur20_S2      ,float,  12+log(O/H)  ,oxygen abundance for Cur20_S2
#  COLUMN21: OH_Cur20_R2      ,float,  12+log(O/H)  ,oxygen abundance for Cur20_R2
#  COLUMN22: OH_Cur20_N2      ,float,  12+log(O/H)  ,oxygen abundance for Cur20_N2
