# AUTHOR: C. Espinosa
# SOURCE: QCVC
# DATE: 2020-9-4
# VERSION: 1.2
# COLAPRV: S.F.Sanchez
# PUBAPRV: None
#  COLUMN1:  HIIREGID           , string,  ,  HII region ID
#  COLUMN2:  GALNAME            , string,  ,  The name of the galaxy
#  COLUMN3:  CALIFAID           , int   ,  ,  CALIFAID
#  COLUMN4:  X                  , float, arcsec  ,X Centroid of the HII region in the cube
#  COLUMN5:  Y                  , float, arcsec  , Y Centroid of the HII region in the cube
#  COLUMN6:  RA                 , float, degree  , RA of the Centroid of the HII region
#  COLUMN7:  DEC                , float, degree  , DEC of the Centroid of the HII region
#  COLUMN8: fluxOII3727      ,float,  10^-16 erg/s/cm^2  ,flux [OII]3727 for3727.4
#  COLUMN9: e_fluxOII3727      ,float,  10^-16 erg/s/cm^2  ,e_flux [OII]3727 for3727.4
#  COLUMN10: EWOII3727      ,float,  Angstrom  ,EW [OII]3727 for3727.4
#  COLUMN11: e_EWOII3727      ,float,  Angstrom  ,e_EW [OII]3727 for3727.4
#  COLUMN12: fluxH123750      ,float,  10^-16 erg/s/cm^2  ,flux H12 for3750.0
#  COLUMN13: e_fluxH123750      ,float,  10^-16 erg/s/cm^2  ,e_flux H12 for3750.0
#  COLUMN14: EWH123750      ,float,  Angstrom  ,EW H12 for3750.0
#  COLUMN15: e_EWH123750      ,float,  Angstrom  ,e_EW H12 for3750.0
#  COLUMN16: fluxH113771      ,float,  10^-16 erg/s/cm^2  ,flux H11 for3771.0
#  COLUMN17: e_fluxH113771      ,float,  10^-16 erg/s/cm^2  ,e_flux H11 for3771.0
#  COLUMN18: EWH113771      ,float,  Angstrom  ,EW H11 for3771.0
#  COLUMN19: e_EWH113771      ,float,  Angstrom  ,e_EW H11 for3771.0
#  COLUMN20: fluxH103798      ,float,  10^-16 erg/s/cm^2  ,flux H10 for3798.0
#  COLUMN21: e_fluxH103798      ,float,  10^-16 erg/s/cm^2  ,e_flux H10 for3798.0
#  COLUMN22: EWH103798      ,float,  Angstrom  ,EW H10 for3798.0
#  COLUMN23: e_EWH103798      ,float,  Angstrom  ,e_EW H10 for3798.0
#  COLUMN24: fluxHeI3819      ,float,  10^-16 erg/s/cm^2  ,flux HeI3819 for3819.4
#  COLUMN25: e_fluxHeI3819      ,float,  10^-16 erg/s/cm^2  ,e_flux HeI3819 for3819.4
#  COLUMN26: EWHeI3819      ,float,  Angstrom  ,EW HeI3819 for3819.4
#  COLUMN27: e_EWHeI3819      ,float,  Angstrom  ,e_EW HeI3819 for3819.4
#  COLUMN28: fluxH93835      ,float,  10^-16 erg/s/cm^2  ,flux H9 for3835.0
#  COLUMN29: e_fluxH93835      ,float,  10^-16 erg/s/cm^2  ,e_flux H9 for3835.0
#  COLUMN30: EWH93835      ,float,  Angstrom  ,EW H9 for3835.0
#  COLUMN31: e_EWH93835      ,float,  Angstrom  ,e_EW H9 for3835.0
#  COLUMN32: fluxNeIII3869      ,float,  10^-16 erg/s/cm^2  ,flux [NeIII] for3869.0
#  COLUMN33: e_fluxNeIII3869      ,float,  10^-16 erg/s/cm^2  ,e_flux [NeIII] for3869.0
#  COLUMN34: EWNeIII3869      ,float,  Angstrom  ,EW [NeIII] for3869.0
#  COLUMN35: e_EWNeIII3869      ,float,  Angstrom  ,e_EW [NeIII] for3869.0
#  COLUMN36: fluxH83889      ,float,  10^-16 erg/s/cm^2  ,flux H8 for3889.0
#  COLUMN37: e_fluxH83889      ,float,  10^-16 erg/s/cm^2  ,e_flux H8 for3889.0
#  COLUMN38: EWH83889      ,float,  Angstrom  ,EW H8 for3889.0
#  COLUMN39: e_EWH83889      ,float,  Angstrom  ,e_EW H8 for3889.0
#  COLUMN40: fluxNeIII3967      ,float,  10^-16 erg/s/cm^2  ,flux [NeIII] for3967.0
#  COLUMN41: e_fluxNeIII3967      ,float,  10^-16 erg/s/cm^2  ,e_flux [NeIII] for3967.0
#  COLUMN42: EWNeIII3967      ,float,  Angstrom  ,EW [NeIII] for3967.0
#  COLUMN43: e_EWNeIII3967      ,float,  Angstrom  ,e_EW [NeIII] for3967.0
#  COLUMN44: fluxHe3970      ,float,  10^-16 erg/s/cm^2  ,flux He for3970.1
#  COLUMN45: e_fluxHe3970      ,float,  10^-16 erg/s/cm^2  ,e_flux He for3970.1
#  COLUMN46: EWHe3970      ,float,  Angstrom  ,EW He for3970.1
#  COLUMN47: e_EWHe3970      ,float,  Angstrom  ,e_EW He for3970.1
#  COLUMN48: fluxHeI4026      ,float,  10^-16 erg/s/cm^2  ,flux HeI4026 for4026.29
#  COLUMN49: e_fluxHeI4026      ,float,  10^-16 erg/s/cm^2  ,e_flux HeI4026 for4026.29
#  COLUMN50: EWHeI4026      ,float,  Angstrom  ,EW HeI4026 for4026.29
#  COLUMN51: e_EWHeI4026      ,float,  Angstrom  ,e_EW HeI4026 for4026.29
#  COLUMN52: fluxSII4069      ,float,  10^-16 erg/s/cm^2  ,flux [SII] for4069.17
#  COLUMN53: e_fluxSII4069      ,float,  10^-16 erg/s/cm^2  ,e_flux [SII] for4069.17
#  COLUMN54: EWSII4069      ,float,  Angstrom  ,EW [SII] for4069.17
#  COLUMN55: e_EWSII4069      ,float,  Angstrom  ,e_EW [SII] for4069.17
#  COLUMN56: fluxSII4076      ,float,  10^-16 erg/s/cm^2  ,flux [SII] for4076.72
#  COLUMN57: e_fluxSII4076      ,float,  10^-16 erg/s/cm^2  ,e_flux [SII] for4076.72
#  COLUMN58: EWSII4076      ,float,  Angstrom  ,EW [SII] for4076.72
#  COLUMN59: e_EWSII4076      ,float,  Angstrom  ,e_EW [SII] for4076.72
#  COLUMN60: fluxHd4101      ,float,  10^-16 erg/s/cm^2  ,flux Hd for4101.74
#  COLUMN61: e_fluxHd4101      ,float,  10^-16 erg/s/cm^2  ,e_flux Hd for4101.74
#  COLUMN62: EWHd4101      ,float,  Angstrom  ,EW Hd for4101.74
#  COLUMN63: e_EWHd4101      ,float,  Angstrom  ,e_EW Hd for4101.74
